Author,Handle,Media URL,Reposts,Likes,Comments,Views,Post Link,Profile Link,Post,Date,Name,Retweets,Tweet URL,Post Body,Profile Lİnk
John,@john_arasa,,,,1.0,,https://x.com/john_arasa,https://x.com/john_arasa,First lower connection fee for those who are within 600M radius from a TX.A lot of people wish to to be connected to the national grid.Source enough meters @KenyaPower& raise more revenue.Why charge eg.Kes 167k for connection to a home 150M from a TX?Exorbitant.@StateHouseKenya,11-Jul-23,,,,,
𝓣𝓞𝓡𝓞𝓜𝓞 𝓚𝓐𝓢𝓐𝓘𝓝𝓔,@DadTipli,,,,,,https://x.com/DadTipli,https://x.com/DadTipli,"The problem is, there are so many cartels who collude with @KenyaPower staff to do connection with verbal agreement of after-meter connection. One can't know whether these culprits are @KETRACO1 staffs or not.",10-Jul-23,,,,,
Kipipirian,@Flex_Dan,,,,,,https://x.com/Flex_Dan,https://x.com/Flex_Dan,"A month to investigate and act. Now that the damage is done 
1. how soon can we get a transformer replacement?
2. If there are illegal connections in the area what's the work of enforcement unit? 
3. Do @KenyaPower care about people, safety and power usage?",9-Jul-23,,,,,
RANDOM TOPICS,@randomtopics06,,,,,,https://x.com/randomtopics06,https://x.com/randomtopics06,"The Governor @HEAhmedJiir has brilliant ideas, and Wajir is advised to make use of the sun shine for free, but what's hard for the National Power Grid Connection for Wajir people? @EnergyMinK @KenyaPower_Care @KenyaPower @Honadendaud @HonAdanKeynan @WilliamsRuto @rigathi",8-Jul-23,,,,,
Kamau N Maurice,@KamauD33,,,7.0,2.0,,https://x.com/KamauD33,https://x.com/KamauD33,When you apply for power connection and have to stay from September 2022 to June 2023 for them to come and drop a cable from a pole outside your gate then you will respect Nimrod Mbai. @KenyaPower is what fails Kenya.,8-Jul-23,,,,,
stephen kinyua,@skinyua36,,,,,,https://x.com/skinyua36,https://x.com/skinyua36,@KenyaPower you have a security team but why a lot of illegal connections everywhere?,6-Jul-23,,,,,
Jotoy,@Jotoy12,,,,,,https://x.com/Jotoy12,https://x.com/Jotoy12,"Did Mr Siror also raise the issue of one giant cartel in the name of kplc? He should task the DCI to mutilate the giant corruption cartel at kplc. Especially for connection applicants and ""illegal connections"".",6-Jul-23,,,,,
Jotoy,@Jotoy12,,,,,,https://x.com/Jotoy12,https://x.com/Jotoy12,Kplc as a whole appears to be absent from Kenya and therefore operating from a foreign country. They should be aware of the presidential decree on what they term as illegal connections. They are disobeying the very government they claim to serve.,6-Jul-23,,,,,
İnż. Ndolo,@IngNdolo,,1.0,2.0,1.0,,https://x.com/IngNdolo,https://x.com/IngNdolo,"A good citizen would report any suspicious activities e.g. illegal connection to the Grid like that of Nimrod Mbai to the authorities, @KenyaPower. Take a look at all the fire cases in the slums and markets  like Gikombaa. We have lost many lives and millions of properties.",6-Jul-23,,,,,
Eugene Ninah,@dreninah1,,,,1.0,,https://x.com/dreninah1,https://x.com/dreninah1,"replacing a simple prepaid meter is a problem that must be accompanied by corruption,how do you expect to win on illegal connections if you cant fix the legal ones?",6-Jul-23,,,,,
Jackkija,@jakobo2030,,,,,,https://x.com/jakobo2030,https://x.com/jakobo2030,Mind you whatever amount you give to the contractor they share with Kenya power guys who later term it as an illegal connection because they didn't issue a meter as per the agreement with the contractor.We must clean @KenyaPower and let Kenyans access affordable power.,6-Jul-23,,,,,
Dennis,@okoth_dennis,,,,,,https://x.com/okoth_dennis,https://x.com/okoth_dennis,Very suspicious visit KPLC should be investigated for “ connection and disconnection  of powerlines” it’s a fraud from bottom up. DCI should ask why the courtesy call after Nimeod’s slap?? Bure Kabisa,6-Jul-23,,,,,
RemainAman,@RemainAman,,,,2.0,,https://x.com/RemainAman,https://x.com/RemainAman,"Bro, there is a procedure to be followed before the connection is done. It is available online. At this level, I cannot ascertain whether it was followed or it wasn't. 

Parties perceived to be indignant can go to court.",6-Jul-23,,,,,
Jackkija,@jakobo2030,,,,1.0,,https://x.com/jakobo2030,https://x.com/jakobo2030,"Some connections are been done by the contractors used by @KenyaPower_Care @KenyaPower during the last mile intiative.If the contractors did a good job then why is Kenya power terming their work now ""illegal connection"".",6-Jul-23,,,,,
MUTUA LOYD ∞,@MutuaLoyd,,,,,,https://x.com/MutuaLoyd,https://x.com/MutuaLoyd,"He learnt his lesson, but the @KenyaPower also shd not be sending staff to disconnect power without security especially in a case of illegal connection. Anyone connecting power without following procedure is dangerous.",6-Jul-23,,,,,
Tambo,@oliverngurete,,,,,,https://x.com/oliverngurete,https://x.com/oliverngurete,"@KenyaPower_Care @citizentvkenya @KBCChannel1
Let me be open to you @KenyaPower 
=======================================
1. How many physical meetings have @KenyaPower  ever organized to enlighten their customers about power applications, connection & customer care contacts?",5-Jul-23,,,,,
Maaajabu,@petercalvine,,,,,,https://x.com/petercalvine,https://x.com/petercalvine,"But this will hit KPLC hard,crooks within them will now facilitate those illegal connections.@KenyaPower president has said hiyo kiburi hajui mlitoa wapi so kipigo imehalalishwa.",5-Jul-23,,,,,
lutta simiyu,@LuttaSimiyu,,,,,,https://x.com/LuttaSimiyu,https://x.com/LuttaSimiyu,"@NAssemblyKE @NPSOfficial_KE @KenyaPower @Kenyajudiciary @ODPP_KE
What about the illegal power connection to his home?",5-Jul-23,,,,,
The Cox,@TheCoxKe,,,,,,https://x.com/TheCoxKe,https://x.com/TheCoxKe,"So other than your Kenya Power(KPLC) staff roaming around collecting brides& aiding illegal connections, what else do they need if not that BEATING? When will my issue get resolved? @KenyaPower_Care @KenyaPower",5-Jul-23,,,,,
Jackkija,@jakobo2030,,,3.0,,,https://x.com/jakobo2030,https://x.com/jakobo2030,"Did you also discuss how @KenyaPower_Care @KenyaPower is extorting Kenyans through exploitative connection fees,failure  connect the power even after paying the money and they don't refund it.",5-Jul-23,,,,,
Festus Ndungu,@festus_ndungu,,,,,,https://x.com/festus_ndungu,https://x.com/festus_ndungu,Nt a justification of assault bt @KenyaPower_Care @KenyaPower  nd to stp the hypocrisy lt thr b a std charge on the connection fee Lt thr b a well knwn charge the quotation process alwys gives crazy figures. If they cnt collect ths thn illegal connections wnt b ending anytym soon,5-Jul-23,,,,,
Abuga Arisa,@ArisaAbuga,,,,1.0,,https://x.com/ArisaAbuga,https://x.com/ArisaAbuga,It is not safe  but chances that the connection was done by KPLC employee is very high.,5-Jul-23,,,,,
Wanyama E.N.,@EvangelineWany1,,1.0,2.0,1.0,,https://x.com/EvangelineWany1,https://x.com/EvangelineWany1,"Are illegal connections safe, to begin with? They pass punitive laws and evade payments.",5-Jul-23,,,,,
Tough Resolve,@dumoro,,,,,,https://x.com/dumoro,https://x.com/dumoro,"@StateHouseKenya, @WilliamsRuto, @KenyaPower is the assertion by the assaulting Mpig, the true declaration of the presidency on illegal connections made legal by way of supply of a meter?",5-Jul-23,,,,,
m,@murrayk719665,,,,1.0,,https://x.com/murrayk719665,https://x.com/murrayk719665,"Are those Poles ,Conductors ,Meters & Accessories Free neither is Labour Free 
Nimrod Mbai was Evading Hefty Cost of Electricity Connection 
Rather than Used his Position & Privilege to Petition ,Lobby, Advocate for Sanity in All Matters @KenyaPower from Connectivity to IPPS etc",4-Jul-23,,,,,
Benson Mwangi,@benson_kmwangi,,,,,,https://x.com/benson_kmwangi,https://x.com/benson_kmwangi,"Great work by @KenyaPower_Care 
@KenyaPower 
to deal with such impunity. An appropriate warning to all illegal connections.Imagine if that underground cable would have electrocuted innocent children or passersby,we would all have heaped blame on http://KPLC.Next stop,Court",4-Jul-23,,,,,
Vladmir Garvin,@Garvinio,,,,,,https://x.com/Garvinio,https://x.com/Garvinio,Hii ndo dawa ya @KenyaPower. I fully support the Mps's sentiments. Kungoa poles za stima zenye ziko safely laid inasolve nini? Wako too quick kuvandalize power connections but ukiwaita waconnect wanachukua miaka,4-Jul-23,,,,,
"Eng. Wycliffe Onkundi,PE, MIEK",@WOnkundi,,2.0,2.0,1.0,,https://x.com/WOnkundi,https://x.com/WOnkundi,The guy is drunk with power and wants to legitimise illegal connections. This is totally unacceptable and should be condemned with strongest terms possible. @EngineersBoard @TheIEK @citizentvkenya @ntvkenya @IngNdolo @KenyaPower,4-Jul-23,,,,,
Githundi Bedan,@githundi,,,,,,https://x.com/githundi,https://x.com/githundi,"The wait for connection continues.. Sad
... . Action has been waited for more than 7 months for completion of E28952022110124 be over
@KenyaPower, @KenyaPower, @ketercharles, @ALEXKWACHIRA, @Joymdivo
.. any help... Not plans, action..
Hapa ni PR tu kama 
@WilliamsRuto @rigathi",30-Jun-23,,,,,
alhajomar,@alhajomar2008,,,1.0,,,https://x.com/alhajomar2008,https://x.com/alhajomar2008,Good service  island pedestrian waiting area  lights need to be fixed and those hawkers using illegal connections to removed  (HAZARD)@KenyaPower @coastguidekenya,30-Jun-23,,,,,
Githundi Bedan,@githundi,,,,1.0,,https://x.com/githundi,https://x.com/githundi,"The wait for connection continues.. Sad
... . Action has been waited for more than 7 months for completion of E28952022110124 be over
@KenyaPower, @KenyaPower, @ketercharles, @ALEXKWACHIRA, @Joymdivo
.. any help... Not plans, action..
Hapa ni PR tu",29-Jun-23,,,,,
Kimanimwangih,@kmwangih,,1.0,6.0,2.0,,https://x.com/kmwangih,https://x.com/kmwangih,It's totally unacceptable! She is not above the law despite connection! @EACCKenya @DCI_Kenya,28-Jun-23,,,,,
Bygones,@bygones2023,,,1.0,1.0,,https://x.com/bygones2023,https://x.com/bygones2023,It has long history of mismanagment from Gichuru days - all the way until we got Canadians Manitoba guys - Nyachae did reform it - and it was doing great. Jubilee did interfere in good way because numbers of connection speak of itself - except they are poor users who need subsidy,23-Jun-23,,,,,
Raini mbare,@stanley_raini,,,,2.0,,https://x.com/stanley_raini,https://x.com/stanley_raini,"We have tried to seek help from you without any assistance. A whole estate without power connection why, we have sent some representative to your headquarters no one came to rescue, when you apply as a single person charges are too high to afford we are all in darkness.",14-Jun-23,,,,,
Raini mbare,@stanley_raini,,,,,,https://x.com/stanley_raini,https://x.com/stanley_raini,"We  applied for connection more than 30 people at kamulu ngundu within Athi centre opposite Kwa misumari since last year no one cares, we did several follow up, update we live in darkness why now?",14-Jun-23,,,,,
rono kim,@RonoKimEd,,,,3.0,,https://x.com/RonoKimEd,https://x.com/RonoKimEd,@KenyaPower Hellow KPLC. I have an issue with network connection in my meter. How do i go about this?,14-Jun-23,,,,,
Kariuki Ikubu,@KariukiIkubu,,,,1.0,,https://x.com/KariukiIkubu,https://x.com/KariukiIkubu,"Dear CHARLES, Your electricity application Reference No. E21182023040171 has been quoted. The quotation amount is 305,163 and is valid for 90 days from the date of this message. Kindly visit any of our offices or pay through Mpesa.

 Imagine a charge for a single connection. How?",13-Jun-23,,,,,
Perez Achwal,@perochwa,,,,1.0,,https://x.com/perochwa,https://x.com/perochwa,"@KenyaPower it's really annoying that I came to KPLC Ruiru office. Applied for power connection and left all my details. One month later fraudsters or your associates have been calling me with the details I left at your office in confidence asking for ""pesa za mafuta""",12-Jun-23,,,,,
The Duke Of Nakuru,@DukeofNakuru,,,,,,https://x.com/DukeofNakuru,https://x.com/DukeofNakuru,Reference E23152022110025....paid for power connection in nakuru in November last year ....8 months now no connection...what is happening?,11-Jun-23,,,,,
Joynter Mukudi,@joykesina,,,,2.0,,https://x.com/joykesina,https://x.com/joykesina,Lucky you people are complaining about tokens @KenyaPower  11 Months since I paid for power connection am yet to see you on the ground. Are you expecting me to meet you behind the blue yellow tent?,10-Jun-23,,,,,
PeEt,@sPeEt_r,,,,,,https://x.com/sPeEt_r,https://x.com/sPeEt_r,Smart meters na mm bado nangoja meter for 8months since i applied and paid for connection. Jokers.,9-Jun-23,,,,,
Justin ambani,@JustinAmbani,,,,,,https://x.com/JustinAmbani,https://x.com/JustinAmbani,Noted.Thou as customers we still experience delays in connecction despite submitting our quotation fee in http://time.Work on speedy connection upon payment.,8-Jun-23,,,,,
Oredo,@freddieaw,,,,,,https://x.com/freddieaw,https://x.com/freddieaw,"Make electricity connection free to avoid corruption. If each household consumes ksh 100 per month that will bring @KenyaPower ksh 1,220,000,000 not counting industrial consumption.",4-Jun-23,,,,,
Moses Katembu,@mkatembu,,,2.0,3.0,,https://x.com/mkatembu,https://x.com/mkatembu,@KenyaPower @KenyaPower_Care Why are we being told to reapply for power connection when we've already received quotation and paid. Have not seen any official communication on this. Wasn't what we paid not enough?,29-May-23,,,,,
Jason Johnson,@siegejason,,,,,,https://x.com/siegejason,https://x.com/siegejason,"@MwangiKiunjuri  Sir, what happened with the power connection in tigithi ward which was part of your manifesto. We are living in pathetic situation which is not supposed to be experienced in 21st century especially in kihato. We request for immediate intervention. @KenyaPower",29-May-23,,,,,
Isaiah Maroo,@IssaMaroo,,,,,,https://x.com/IssaMaroo,https://x.com/IssaMaroo,@KenyaPower my meter number is 14286567830 kindly assist as the connection has failed several times and even network bars are missing and it's connected to the war socket,28-May-23,,,,,
Mekatilili_KE,@Mekatili_KE,,1.0,,,,https://x.com/Mekatili_KE,https://x.com/Mekatili_KE,"We congratulate @KenyaPower_Care & @KenyaPower Malindi Staff for due diligence & standing up against those making illegal connections. They also stood up against bribery. How on earth can one have a bill of 102,000 KShs and still remain connected! Still allowed 2 play loud music",28-May-23,,,,,
Emmanuel Manyasa,@ManyasaChebi,,1.0,1.0,1.0,,https://x.com/ManyasaChebi,https://x.com/ManyasaChebi,"In the meantime, it is exactly 7 months today since I paid @KenyaPower for connection & I'm still waiting with no idea when I will be  connected. Many visits & calls to Mumias & Kakamega have only elicited false ""next week"" promises since January!",26-May-23,,,,,
Power Engineering International,@PowerEngInt,,1.0,,,,https://x.com/PowerEngInt,https://x.com/PowerEngInt,"Read why Alex Wachira, Principal Secretary, Ministry of Energy and @KenyaPower, believes Africa's successful #energytransition lies in the single electricity market and the effective connection of the continent’s power pools. http://ow.ly/Tqzs50Or0L5",19-May-23,,,,,
Power Engineering International,@PowerEngInt,,,,,,https://x.com/PowerEngInt,https://x.com/PowerEngInt,"Read why Alex Wachira, Principal Secretary, Ministry of Energy and @KenyaPower, believes Africa's successful #energytransition lies in the single electricity market and the effective connection of the continent’s power pools. http://ow.ly/Tqzs50Or0L5",18-May-23,,,,,
Omondi Olande,@ezykyle,,,1.0,,,https://x.com/ezykyle,https://x.com/ezykyle,"Before you do new connections, can you fix the existing one's?",17-May-23,,,,,
Kayote,@mwasimpeter,,1.0,1.0,,,https://x.com/mwasimpeter,https://x.com/mwasimpeter,Have been following power connection since 2016 until I gave up and saved my energy and money.,17-May-23,,,,,
Gleam kimathi,@Gleamooh,,,1.0,,,https://x.com/Gleamooh,https://x.com/Gleamooh,Now if paid metre tokens are taking an year to be given out after connection..why not clear the backlog first ..,17-May-23,,,,,
The Kenya Power & Lighting Company Plc.,@KenyaPower,,3.0,24.0,23.0,,https://x.com/KenyaPower,https://x.com/KenyaPower,The LMCP is a Government flagship project that was initiated in 2015 with the aim of providing affordable connection in rural and peri-urban areas and accelerating universal electricity access to drive social and economic growth in line with the country’s 2030 development agenda.,17-May-23,,,,,
Specialty Coffee Connections,@ccAfrica2,,,2.0,1.0,,https://x.com/ccAfrica2,https://x.com/ccAfrica2,"It's now morning and still waiting for power to be back.
Are the technicians still working",17-May-23,,,,,
Doreen Amoit,@DoreenAmoit99,,,,1.0,,https://x.com/DoreenAmoit99,https://x.com/DoreenAmoit99,"@KenyaPower 
We have lost power connection in our area ( Kong'urakol, Teso North; Busia County)from 8th May 2023 to date.
Kindly assist.",16-May-23,,,,,
Larico,@RicLarico,,,,,,https://x.com/RicLarico,https://x.com/RicLarico,@KenyaPower_Care @KenyaPower .I applied for 3 phase power and paid in January and upto now am being taken in circles regarding the connection. How can we do business if you can't connect clients on time?.@WilliamsRuto you need to be serious with power connection,16-May-23,,,,,
EightyFour.,@francisnthanga,,,1.0,1.0,,https://x.com/francisnthanga,https://x.com/francisnthanga,"@KenyaPower kindly check my connection
I updated my payment but I still haven't gotten my power connection back
this is my account number 32133621",10-May-23,,,,,
Alvin MG,@alvinalvoe,,,,,,https://x.com/alvinalvoe,https://x.com/alvinalvoe,The feedback I have been getting is that the system shows that the connection was done a few months later but but not at my place meaning the connection was done to a more connected person,3-May-23,,,,,
İnż. Ndolo,@IngNdolo,,,,,,https://x.com/IngNdolo,https://x.com/IngNdolo,"Hongera Mhandisi Siror!

Going forward, @KenyaPower must  deliver. Rethink last mile  connection and how to restructure the same in the informal settlements. 

@KenyaPower_Care @KenyaFraternity",3-May-23,,,,,
İnż. Ndolo,@IngNdolo,,,,,,https://x.com/IngNdolo,https://x.com/IngNdolo,"Hongera Mhandisi Siror!

Going forward, @KenyaPower must  deliver. Rethink last mile  connection and how to restructure the same in the informal settlements. 

@KenyaPower_Care @KenyaFraternity",3-May-23,,,,,
Joseph Wathika,@JosephWathika1,,,,1.0,,https://x.com/JosephWathika1,https://x.com/JosephWathika1,"@KenyaPower Attention KPLC
How long Kenya Power Muranga county takes for a new connection?
I have paid all the money..but they say they have no meters... very frustrating..Also do Kplc follow FIFo principle rule  ie first in first out in terms of payment as prescribed by Kplc",3-May-23,,,,,
JaLuo,@An_JaLuo,,,,2.0,,https://x.com/An_JaLuo,https://x.com/An_JaLuo,Applied for power connection 3 months ago! No quotation yet!,3-May-23,,,,,
Peter Munyithya,@P_Munyithya,,,,,,https://x.com/P_Munyithya,https://x.com/P_Munyithya,"How does this office matters concern us, if power is still expensive ontop of it you have to bribe heavily to get a connection",3-May-23,,,,,
LaserTech | #MursikPlug,@Kemdynno,,,,,,https://x.com/Kemdynno,https://x.com/Kemdynno,"Hi, how can I get electricity connection to Soin Ward Kericho county?",2-May-23,,,,,
Everest,@everest_254,,1.0,2.0,1.0,,https://x.com/everest_254,https://x.com/everest_254,"Btw, I'm not necessarily arguing against solar.. My view is that it's not a silver bullet.. There are applications where it's most suited e.g. when KPLC gives you a quote of 500K for a new connection.",2-May-23,,,,,
frank kirughamio,@frankkirughamio,,,1.0,1.0,,https://x.com/frankkirughamio,https://x.com/frankkirughamio,I've already paid for electricity connection of one of my properties  @KenyaPower_Care after dropping wire line you were to bring meter but till date. Now two weeks gone. @KenyaPower_Care @KenyaPower stop giving tax payers shifty services. Kindly intervine am disappointed,29-Apr-23,,,,,
AMAZING MOTIVATION,@ALLANOKOTH8,,,1.0,5.0,,https://x.com/ALLANOKOTH8,https://x.com/ALLANOKOTH8,Kindly how can one solve this challenge of connection failing after key in token number.,28-Apr-23,,,,,
Hamzadiin1,@hamzadiin1,,,1.0,,,https://x.com/hamzadiin1,https://x.com/hamzadiin1,Good job ..Now work on the road connections to be actualized....We have been waiting for too long,28-Apr-23,,,,,
George Victor,@georgevictor001,,,,,,https://x.com/georgevictor001,https://x.com/georgevictor001,"Why do you take years to effect simple Power Connection Applications in Rift Valley,Western and Nyanza?",28-Apr-23,,,,,
Kiach,@masterkiarie,,,,1.0,,https://x.com/masterkiarie,https://x.com/masterkiarie,"I saw such an issue in my neighbourhood and this was wild. The connection includes posts, wires and they had been using the elec for 3 years, paying for it then KPLC comes..connection is illegal and pulls down the posts and wires. Nkt.",27-Apr-23,,,,,
Richard Nsimba,@Richardona_254,,,1.0,,,https://x.com/Richardona_254,https://x.com/Richardona_254,"My story: 2 yrs after connection, they claimed in-situ meter was meant to be installed in Kibra. Redid application, sent from Maasai Mall to Elec. Hse to pay; on going back to Maasai Mall, was told that I neglected to pay 10 cents so I was to go back to Elec. Hse for the same",27-Apr-23,,,,,
Chaplin,@RickPhred,,1.0,4.0,1.0,,https://x.com/RickPhred,https://x.com/RickPhred,They should be hit by one serious class action suit @KenyaPower_Care  is one of the most rogue institution. My old man was forced to pay 30k to them for an illegal connection to his workshop. A 5yr old busy working workshop paying tokens daily.,26-Apr-23,,,,,
Africanus,@AfroEconomicus,,113.0,220.0,34.0,,https://x.com/AfroEconomicus,https://x.com/AfroEconomicus,"Thousands of customers are being disconnected by @KenyaPower because they were allegedly connected by 'rogue' contractors & required to pay afresh despite having paid connection fees & have been paying their tokens since 2016!

Why can't KPLC go after its contractors?",26-Apr-23,,,,,
maisori singira,@maisori_singira,,,,,,https://x.com/maisori_singira,https://x.com/maisori_singira,"@KenyaPower kindly come to our rescue! Residents of telaviv(connection) area embakasi East have been counting losses three days now helplessly, after a transformer that was serving them with power was taken away! Please help! We are in darkness with no information what to do!",26-Apr-23,,,,,
Andrew kinja mutugi,@AndrewKinja,,,,1.0,,https://x.com/AndrewKinja,https://x.com/AndrewKinja,@KenyaPower_Care I did an application in November and paid for power connection it's 5 months now. What should I do or who should I go to ? @AlexKWachira @EnergyMinK @DavisChirchir8 @KenyaPower H.E @WilliamsRuto H.E @rigathi,4-Apr-23,,,,,
Simon Njeri,@SimonNj7352299,,,,4.0,,https://x.com/SimonNj7352299,https://x.com/SimonNj7352299,I have been having an issue of loose connection on my meter when we rectified the technician told me I should contact kplc for tamper code I've not yet received any please assist me please,4-Apr-23,,,,,
Obondo Churchill,@chondohyahooco1,,,1.0,1.0,,https://x.com/chondohyahooco1,https://x.com/chondohyahooco1,The most incompetent company..I paid for connection in December and paid for 15 meters... Everything was approved then...I haven't been connected to date..Reference E24102022120014..Imagine revenue lost in those 3months,1-Apr-23,,,,,
Werunga Mulati,@pmulati,,,1.0,,,https://x.com/pmulati,https://x.com/pmulati,"Emergency!!!
A power pole has fallen and blocked the road with live wire connection at Uthiru 87, 500metres from Uthiru Total Petrol Station.
Send Emergency Team Right Now.",31-Mar-23,,,,,
Japur mar ahuma,@MJarongo,,,,3.0,,https://x.com/MJarongo,https://x.com/MJarongo,How do one pay quotation amount for new connection?,31-Mar-23,,,,,
Musti,@mustafajanoowa1,,,1.0,,,https://x.com/mustafajanoowa1,https://x.com/mustafajanoowa1,kuhakikisha power late connection..kplc in full,29-Mar-23,,,,,
Syed Dawud Husain,@syeddawudhusain,,1.0,1.0,1.0,,https://x.com/syeddawudhusain,https://x.com/syeddawudhusain,"@KenyaPower_Care @KenyaPower Since Nov 2022, I have been going to KPLC Office Msa for a 3phase connection.I have been up and down. At first they do not wanna take new application for 3phase connection and at the end they are like there are no 3 phase meters.",27-Mar-23,,,,,
Aron Terer,@AronTerer5,,,,,,https://x.com/AronTerer5,https://x.com/AronTerer5,"@KenyaPower_Care @KenyaPower @JerotichSeii 
Third day now without power connection in Litein DC's office and its environs. No actions have been taken so far! Total blackout!",25-Mar-23,,,,,
Eve Wanjiru Karanja,@wanjiru_karanja,,,2.0,,,https://x.com/wanjiru_karanja,https://x.com/wanjiru_karanja,". @KenyaPower_Care, really, really.....can we be told the connection between rain and power outages? As for the mother ship @KenyaPower, a whole unplanned day of power outages and now a night of the same? How do you explain these revenue losses to your shareholders?",23-Mar-23,,,,,
Bii Vic,@kipkorirbii06,,,,,,https://x.com/kipkorirbii06,https://x.com/kipkorirbii06,They should meter the illegal connections and increase the tax base as investigations continue,23-Mar-23,,,,,
Sakaja Arthur Johnson,@SakajaJohnson,,73.0,638.0,36.0,,https://x.com/SakajaJohnson,https://x.com/SakajaJohnson,Great working meeting with CS @DavisChirchir8 and Kenya Power MD Eng. MULI and our teams. We are working closely with @KenyaPower and the Ministry of Energy to light up the city and restore power disconnected in informal settlements due to illegal connections.,23-Mar-23,,,,,
mutwiri woods,@WoodsMutwiri,,,1.0,1.0,,https://x.com/WoodsMutwiri,https://x.com/WoodsMutwiri,"@KenyaPower Hello KPLC, my bro paid for a connection to the grid last year. He received the quotation and paid. However, upon making payments he hasn't been connected to date. He has made countless trips to your offices in Meru with no help. Till when will he have to wait?????",23-Mar-23,,,,,
David Kanyanjua,@davidkanyanjua,,,,,,https://x.com/davidkanyanjua,https://x.com/davidkanyanjua,@KenyaPower 24149593. Blackout Kidfarmaco. Shida kwa transformer. Loose connection. In spark,22-Mar-23,,,,,
Ustadh Juma Okal,@UstadhJumaOkal,,,,,,https://x.com/UstadhJumaOkal,https://x.com/UstadhJumaOkal,@KenyaPower @KenyaPower_Care @NationBreaking @citizentvkenya Does Kenya Power have an MD with grip of his/her service Teams? I reported an issue with my service-line connection to the mains on Monday morning booked as. Ticket ref. 20230315115438. Up to now am still in darkness,15-Mar-23,,,,,
Ustadh Juma Okal,@UstadhJumaOkal,,,1.0,,,https://x.com/UstadhJumaOkal,https://x.com/UstadhJumaOkal,@KenyaPower @KenyaPower_Care @NationBreaking @citizentvkenya Does Kenya Power have an MD with grip of his/her service Teams? I reported an issue with my service-line connection to the mains on Monday morning booked as Ticket ref. 20230315115438. Up to now am still in darkness;,15-Mar-23,,,,,
Ustadh Juma Okal,@UstadhJumaOkal,,,1.0,,,https://x.com/UstadhJumaOkal,https://x.com/UstadhJumaOkal,@KenyaPower @KenyaPower_Care @NationBreaking @citizentvkenya Does Kenya Power have an MD with grip of his/her service Teams? I reported an issue with my service-line connection to the mains on Monday morning booked as Ticket ref. 20230315115438. Up to now am still in darkness-,15-Mar-23,,,,,
Ustadh Juma Okal,@UstadhJumaOkal,,,1.0,,,https://x.com/UstadhJumaOkal,https://x.com/UstadhJumaOkal,@KenyaPower @KenyaPower_Care @NationBreaking @citizentvkenya .Does Kenya Power have an MD with grip of his/her service Teams? I reported an issue with my service-line connection to the mains on Monday morning booked as Ticket ref. 20230315115438. Up to now am still in darkness!,15-Mar-23,,,,,
Ustadh Juma Okal,@UstadhJumaOkal,,,,,,https://x.com/UstadhJumaOkal,https://x.com/UstadhJumaOkal,"@KenyaPower @KenyaPower_Care @NationBreaking @citizentvkenya Does Kenya Power have an MD with grip of his/her service Teams? I reported an issue with my service,line connection to the mains on Monday morning booked as Ticket ref. 20230315115438. Up to now am still in darkness!",15-Mar-23,,,,,
Ustadh Juma Okal,@UstadhJumaOkal,,,,,,https://x.com/UstadhJumaOkal,https://x.com/UstadhJumaOkal,@KenyaPower @CareKenya_power  @NationBreaking @citizentvkenya Does Kenya Power have an MD with grip of his/her service Teams? I reported an issue with my service-line connection to the mains on Monday morning booked as Ticket ref. 20230315115438. Up to now am still in darkness,15-Mar-23,,,,,
Ustadh Juma Okal,@UstadhJumaOkal,,,,,,https://x.com/UstadhJumaOkal,https://x.com/UstadhJumaOkal,@KenyaPower @CareKenya_power  @NationBreaking @citizentvkenya Does Kenya Power have an MD with grip of his/her service Teams? I reported an issue with my service-line connection to the mains on Monday morning booked as Ticket ref. 20230315115438. Up to now am still in darkness!,15-Mar-23,,,,,
Ustadh Juma Okal,@UstadhJumaOkal,,,,,,https://x.com/UstadhJumaOkal,https://x.com/UstadhJumaOkal,@KenyaPower @KenyaPower_Care @NationBreaking @citizentvkenya Does Kenya Power have an MD with grip of his/her service Teams? I reported an issue with my service-line connection to the mains on Monday morning booked as Ticket ref. 20230315115438. Up to now am still indarkness no p,15-Mar-23,,,,,
Ustadh Juma Okal,@UstadhJumaOkal,,,1.0,,,https://x.com/UstadhJumaOkal,https://x.com/UstadhJumaOkal,@KenyaPower @KenyaPower_Care @NationBreaking @citizentvkenya Does Kenya Power have an MD with grip of his-her service Teams? I reported an issue with my service-line connection to the mains on Monday morning booked as Ticket ref. 20230315115438. Up to now am still in darkness!,15-Mar-23,,,,,
Ustadh Juma Okal,@UstadhJumaOkal,,,1.0,,,https://x.com/UstadhJumaOkal,https://x.com/UstadhJumaOkal,@KenyaPower @KenyaPower_Care @NationBreaking @citizentvkenya Does Kenya Power have an MD with grip of his/her service Teams? I reported an issue with my service-line connection to the mains on Monday morning booked as Ticket ref  20230315115438 Up to now am still in darkness,15-Mar-23,,,,,
Ustadh Juma Okal,@UstadhJumaOkal,,,,,,https://x.com/UstadhJumaOkal,https://x.com/UstadhJumaOkal,@KenyaPower @KenyaPower_Care @NationBreaking @CitizenTVKeny19  Does Kenya Power have an MD with grip of his/her service Teams? I reported an issue with my service-line connection to the mains on Monday morning booked as Ticket ref. 20230315115438. Up to now am still in darkness!,15-Mar-23,,,,,
